Date,Close,Adj Close
2011-03-08,75.260002,37.630001
2011-03-09,76.050003,38.025002
2011-03-10,74.720001,37.360001
2011-03-11,76.5,38.25
2011-03-14,78.239998,39.119999
2011-03-15,79.129997,39.564999
2011-03-16,79.349998,39.674999
2011-03-17,76.370003,38.185001
2011-03-18,75.559998,37.779999
2011-03-21,76.879997,38.439999
2011-03-22,77.209999,38.605
2011-03-23,79.279999,39.639999
2011-03-24,78.809998,39.404999
2011-03-25,78.639999,39.32
2011-03-28,85.269997,42.634998
2011-03-29,89.169998,44.584999
2011-03-30,89.839996,44.919998
2011-03-31,89.050003,44.525002
2011-04-01,89.129997,44.564999
2011-04-04,90.940002,45.470001
2011-04-05,93.489998,46.744999
2011-04-06,92.080002,46.040001
2011-04-07,91.510002,45.755001
2011-04-08,90.279999,45.139999
2011-04-11,88.709999,44.355
2011-04-12,89.300003,44.650002
2011-04-13,92.110001,46.055
2011-04-14,92.029999,46.014999
2011-04-15,93.279999,46.639999
2011-04-18,96.860001,48.43
2011-04-19,100.260002,50.130001
2011-04-20,99.730003,49.865002
2011-04-21,102.169998,51.084999
2011-04-25,101.379997,50.689999
2011-04-26,98.620003,49.310001
2011-04-27,100.480003,50.240002
2011-04-28,99.330002,49.665001
2011-04-29,100.050003,50.025002
2011-05-02,96.349998,48.174999
2011-05-03,93.300003,46.650002
2011-05-04,93.230003,46.615002
2011-05-05,93.989998,46.994999
2011-05-06,94.949997,47.474998
2011-05-09,98.989998,49.494999
2011-05-10,98.889999,49.445
2011-05-11,96.669998,48.334999
2011-05-12,97.040001,48.52
2011-05-13,95.230003,47.615002
2011-05-16,94.07,47.035
2011-05-17,94.849998,47.424999
2011-05-18,98.150002,49.075001
2011-05-19,97.239998,48.619999
2011-05-20,96.290001,48.145
2011-05-23,96.510002,48.255001
2011-05-24,97.230003,48.615002
2011-05-25,97.580002,48.790001
2011-05-26,91.75,45.875
2011-05-27,90.080002,45.040001
2011-05-31,90.800003,45.400002
2011-06-01,87.910004,43.955002
2011-06-02,87.32,43.66
2011-06-03,86.660004,43.330002
2011-06-06,83.870003,41.935001
2011-06-07,83.089996,41.544998
2011-06-08,84.339996,42.169998
2011-06-09,86.139999,43.07
2011-06-10,89.940002,44.970001
2011-06-13,87.900002,43.950001
2011-06-14,91.5,45.75
2011-06-15,91.330002,45.665001
2011-06-16,90.980003,45.490002
2011-06-17,93.379997,46.689999
2011-06-20,97.75,48.875
2011-06-21,102.809998,51.404999
2011-06-22,101.370003,50.685001
2011-06-23,106.699997,53.349998
2011-06-24,104.379997,52.189999
2011-06-27,108.580002,54.290001
2011-06-28,113.099998,56.549999
2011-06-29,111.68,55.84
2011-06-30,111.82,55.91
2011-07-01,115.620003,57.810001
2011-07-05,118.75,59.375
2011-07-06,121.360001,60.68
2011-07-07,121.699997,60.849998
2011-07-08,120.25,60.125
2011-07-11,117.779999,58.889999
2011-07-12,59.919998,59.919998
2011-07-13,60.639999,60.639999
2011-07-14,59.740002,59.740002
2011-07-15,60.540001,60.540001
2011-07-18,60.48,60.48
2011-07-19,63.509998,63.509998
